name,country,latitude,longitude,population,elevation,elevation_feet,elevation_source,elevation_confidence,source,distance_km_to_alps,airport_confidence_pct,airport_error,airport_nearest_iata,airport_nearest_icao,airport_nearest_latitude,airport_nearest_longitude,airport_nearest_name,airport_reasoning,driving_confidence_pct,driving_error,driving_km_to_airport,driving_reasoning,driving_time_minutes_to_airport,hospital_confidence_pct,hospital_error,hospital_in_city,hospital_in_city_or_nearby,hospital_reasoning,nearest_hospital_km
Grenoble,FR,45.17869,5.71479,158552,222.0,728.3,opentopo,0.9,geonames,0.0,90,,GNB,LFLS,45.3629,5.32937,Grenoble Alpes Isère Airport,Selected by OSRM driving among top-K from OurAirports dataset (scheduled service).,95,,45.577,"Driving route via OSRM. Distance and time derived from OSRM API. Source: https://router.project-osrm.org/route/v1/driving/5.714790,45.178690;5.329370,45.362900?overview=false&annotations=duration,distance&alternatives=false",34.9,95,,yes,yes,OSM hospital within 3.0 km of centroid (nearest 2.12 km),2.12
Salzburg,AT,47.79941,13.04399,157245,423.0,1387.8,opentopo,0.9,geonames,0.0,90,,SZG,LOWS,47.793301,13.0043,Salzburg Airport,Selected by OSRM driving among top-K from OurAirports dataset (scheduled service).,95,,4.786,"Driving route via OSRM. Distance and time derived from OSRM API. Source: https://router.project-osrm.org/route/v1/driving/13.043990,47.799410;13.004300,47.793301?overview=false&annotations=duration,distance&alternatives=false",9.0,95,,yes,yes,OSM hospital within 3.0 km of centroid (nearest 1.14 km),1.14
Innsbruck,AT,47.26266,11.39454,132493,596.0,1955.4,opentopo,0.9,geonames,0.0,90,,INN,LOWI,47.260201,11.344,Innsbruck Airport,Selected by OSRM driving among top-K from OurAirports dataset (scheduled service).,95,,4.218,"Driving route via OSRM. Distance and time derived from OSRM API. Source: https://router.project-osrm.org/route/v1/driving/11.394540,47.262660;11.344000,47.260201?overview=false&annotations=duration,distance&alternatives=false",6.9,95,,yes,yes,OSM hospital within 3.0 km of centroid (nearest 2.07 km),2.07
Trento,IT,46.06787,11.12108,120709,203.0,666.0,open_elevation,0.85,geonames,0.0,90,,BZO,LIPB,46.460201,11.3264,Bolzano Airport,Selected by OSRM driving among top-K from OurAirports dataset (scheduled service).,95,,57.998,"Driving route via OSRM. Distance and time derived from OSRM API. Source: https://router.project-osrm.org/route/v1/driving/11.121080,46.067870;11.326400,46.460201?overview=false&annotations=duration,distance&alternatives=false",42.7,95,,yes,yes,OSM hospital within 3.0 km of centroid (nearest 0.87 km),0.87
Bolzano,IT,46.49067,11.33982,107436,263.0,862.9,opentopo,0.9,geonames,0.0,90,,BZO,LIPB,46.460201,11.3264,Bolzano Airport,Selected by OSRM driving among top-K from OurAirports dataset (scheduled service).,95,,5.733,"Driving route via OSRM. Distance and time derived from OSRM API. Source: https://router.project-osrm.org/route/v1/driving/11.339820,46.490670;11.326400,46.460201?overview=false&annotations=duration,distance&alternatives=false",10.2,80,,no,yes,No OSM hospital within 3.0 km of centroid; nearest 2.39 km,2.39
Bolzano - Bozen,IT,46.4984781,11.3547399,105713,262.0,859.6,,,osm,0.0,90,,BZO,LIPB,46.460201,11.3264,Bolzano Airport,Selected by OSRM driving among top-K from OurAirports dataset (scheduled service).,95,,6.764,"Driving route via OSRM. Distance and time derived from OSRM API. Source: https://router.project-osrm.org/route/v1/driving/11.354740,46.498478;11.326400,46.460201?overview=false&annotations=duration,distance&alternatives=false",12.4,80,,no,yes,No OSM hospital within 3.0 km of centroid; nearest 2.76 km,2.76
Klagenfurt,AT,46.62472,14.30528,100316,459.0,1505.9,opentopo,0.9,geonames,0.0,90,,KLU,LOWK,46.642502,14.3377,Klagenfurt Airport,Selected by OSRM driving among top-K from OurAirports dataset (scheduled service).,95,,3.596,"Driving route via OSRM. Distance and time derived from OSRM API. Source: https://router.project-osrm.org/route/v1/driving/14.305280,46.624720;14.337700,46.642502?overview=false&annotations=duration,distance&alternatives=false",7.0,95,,yes,yes,OSM hospital within 3.0 km of centroid (nearest 1.05 km),1.05
Rosenheim,AT,47.85637,12.12247,60167,448.0,1469.8,open_elevation,0.85,geonames,0.0,90,,SZG,LOWS,47.793301,13.0043,Salzburg Airport,Selected by OSRM driving among top-K from OurAirports dataset (scheduled service).,95,,78.769,"Driving route via OSRM. Distance and time derived from OSRM API. Source: https://router.project-osrm.org/route/v1/driving/12.122470,47.856370;13.004300,47.793301?overview=false&annotations=duration,distance&alternatives=false",55.8,95,,yes,yes,OSM hospital within 3.0 km of centroid (nearest 0.86 km),0.86
Chambéry,FR,45.56628,5.92079,61640,280.0,918.6,open_elevation,0.85,geonames,0.0,90,,CMF,LFLB,45.6381,5.88023,Chambéry Aix les Bains airport,Selected by OSRM driving among top-K from OurAirports dataset (scheduled service).,95,,9.801,"Driving route via OSRM. Distance and time derived from OSRM API. Source: https://router.project-osrm.org/route/v1/driving/5.920790,45.566280;5.880230,45.638100?overview=false&annotations=duration,distance&alternatives=false",20.1,95,,yes,yes,OSM hospital within 3.0 km of centroid (nearest 0.80 km),0.8
Kempten (Allgäu),DE,47.72674,10.31389,61399,674.0,2211.3,opentopo,0.9,geonames,0.0,90,,FMM,EDJA,47.988800048799995,10.2395000458,Memmingen Allgau Airport,Selected by OSRM driving among top-K from OurAirports dataset (scheduled service).,95,,45.599,"Driving route via OSRM. Distance and time derived from OSRM API. Source: https://router.project-osrm.org/route/v1/driving/10.313890,47.726740;10.239500,47.988800?overview=false&annotations=duration,distance&alternatives=false",36.2,95,,yes,yes,OSM hospital within 3.0 km of centroid (nearest 1.14 km),1.14
