name,country,latitude,longitude,population,elevation,elevation_feet,elevation_source,elevation_confidence,source,distance_km_to_alps,hospital_confidence_pct,hospital_error,hospital_in_city,hospital_reasoning
Grenoble,FR,45.17869,5.71479,158552,222.0,728.3,opentopo,0.9,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 2.12 km)
Salzburg,AT,47.79941,13.04399,157245,423.0,1387.8,opentopo,0.9,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 1.14 km)
Innsbruck,AT,47.26266,11.39454,132493,596.0,1955.4,opentopo,0.9,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 2.07 km)
Trento,IT,46.06787,11.12108,120709,203.0,666.0,open_elevation,0.85,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 0.87 km)
Bolzano,IT,46.49067,11.33982,107436,263.0,862.9,opentopo,0.9,geonames,0.0,80,,no,No OSM hospital within 3.0 km of centroid
Bolzano - Bozen,IT,46.4984781,11.3547399,105713,262.0,859.6,,,osm,0.0,80,,no,No OSM hospital within 3.0 km of centroid
Klagenfurt,AT,46.62472,14.30528,100316,459.0,1505.9,opentopo,0.9,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 1.05 km)
Rosenheim,AT,47.85637,12.12247,60167,448.0,1469.8,open_elevation,0.85,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 0.86 km)
Chambéry,FR,45.56628,5.92079,61640,280.0,918.6,open_elevation,0.85,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 0.80 km)
Kempten (Allgäu),DE,47.72674,10.31389,61399,674.0,2211.3,opentopo,0.9,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 1.14 km)
Villach,AT,46.61028,13.85583,58882,491.0,1610.9,open_elevation,0.85,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 0.61 km)
